tag,layer,position,test_within2x,mention_within2x,mention_rho,role_within2x,role_rho
train-structured+plain+varied-investment+climate,33,T3,0.78125,0.2875,0.15203530300639145,0.3375,0.4489244517490068
train-structured+plain+varied-investment+climate,33,T4,0.7604166666666666,0.26666666666666666,0.5551940843028654,0.6666666666666666,0.6994415248904213
train-structured+plain+varied-investment+climate,33,T5,0.7430555555555556,0.4375,0.5948012254543876,0.05416666666666667,0.7212655288841043
train-structured+plain+varied-investment+climate,33,T6,0.8611111111111112,0.3958333333333333,0.5354161249733279,0.275,0.6638739564239159
train-structured+plain+varied-investment+climate,33,T7,0.7673611111111112,0.425,0.6692162206684685,0.025,0.7471173773076601
train-structured+plain+varied-investment+climate,33,T8,0.9409722222222222,0.6916666666666667,0.781282786453773,0.2833333333333333,0.7045614379642279
train-structured+plain+varied-investment+climate,33,R0,0.9027777777777778,0.6416666666666667,0.7766944665794653,0.38333333333333336,0.5974210366628884
train-structured+plain+varied-investment+climate,37,T0,0.8402777777777778,0.4041666666666667,0.3208702812687513,0.09166666666666666,0.6357498236211532
train-structured+plain+varied-investment+climate,37,T1,0.90625,0.7416666666666667,0.6773792627911136,0.3541666666666667,0.6622912167789303
train-structured+plain+varied-investment+climate,37,T2,0.6736111111111112,0.6041666666666666,0.18285127536941032,0.3958333333333333,0.4500247706133123
train-structured+plain+varied-investment+climate,37,T3,0.7048611111111112,0.2375,0.2662870724101695,0.10833333333333334,0.39055761639646236
train-structured+plain+varied-investment+climate,37,T4,0.84375,0.30833333333333335,0.34940207773975424,0.42916666666666664,0.6251682646613033
train-structured+plain+varied-investment+climate,37,T5,0.6875,0.3416666666666667,0.4185719765450119,0.06666666666666667,0.7484856112229823
train-structured+plain+varied-investment+climate,37,T6,0.8229166666666666,0.5,0.7251620346439331,0.25,0.6120964418155843
train-structured+plain+varied-investment+climate,37,T7,0.7534722222222222,0.39166666666666666,0.7122300916566575,0.2375,0.6825211913523823
train-structured+plain+varied-investment+climate,37,T8,0.8923611111111112,0.6,0.7949405261136923,0.35833333333333334,0.5162792508632951
train-structured+plain+varied-investment+climate,37,R0,0.90625,0.49583333333333335,0.8378406658050914,0.16666666666666666,0.5356498998517192
