position,layer,n95,n99,n_dims_above_noise,scree3,noise3,tortuosity,planarity2,split_half_r,snr,mean_pr
R0,20,6,14,16,0.09784509986639023,0.0008130487985908985,3.187131881713867,0.7913740873336792,0.9987060497853725,0.24911613762378693,7.863477115631103
T3,21,7,14,16,0.11586810648441315,0.0006637236219830811,4.013342380523682,0.7606536149978638,0.9985835765800756,0.24888209998607635,8.304404850006103
R0,21,6,13,16,0.09298529475927353,0.0007381123723462224,3.377275228500366,0.8110898733139038,0.9987429602130589,0.25319379568099976,7.78346342086792
T3,22,6,14,16,0.11830329895019531,0.0006948930094949901,3.962495803833008,0.7689158916473389,0.9987557931044153,0.2557636797428131,8.343951740264892
R0,22,6,13,16,0.10512171685695648,0.0008023735717870295,3.1536178588867188,0.7997640371322632,0.9989131194312982,0.2551981210708618,7.757420711517334
T3,23,6,14,16,0.11862969398498535,0.0007350330124609172,4.109640121459961,0.7695292830467224,0.9986688628071563,0.26106980443000793,8.35947322845459
R0,23,6,13,16,0.11094914376735687,0.0007866377127356827,3.1188268661499023,0.7934606075286865,0.9990232004033572,0.2658272385597229,7.925877857208252
T3,24,6,14,16,0.12979817390441895,0.0007437319145537913,4.271144390106201,0.761106014251709,0.9987583299442129,0.2593096196651459,8.208069591522216
R0,24,5,14,16,0.13021689653396606,0.0008846867713145912,3.2031409740448,0.7831006050109863,0.9993516955525177,0.2893926799297333,6.784413661956787
T3,25,6,14,16,0.12844730913639069,0.000769140780903399,4.389096260070801,0.7670274376869202,0.9987687323310938,0.25725486874580383,8.39168336868286
R0,25,5,14,16,0.12062454223632812,0.0008301729103550315,3.719525098800659,0.7864426970481873,0.9979198813715121,0.2852908670902252,6.393736896514892
T3,26,6,14,16,0.12323490530252457,0.0007927307160571218,4.382259845733643,0.7735130786895752,0.9987768350376266,0.24778051674365997,8.511804218292236
R0,26,4,12,16,0.09951387345790863,0.0006087660440243781,3.6785333156585693,0.82957524061203,0.9984648028074251,0.3053421974182129,5.869418182373047
T3,27,6,14,16,0.1167077124118805,0.0007698341505602002,4.274166584014893,0.7793999910354614,0.9986900313984152,0.2534235119819641,8.46787244796753
R0,27,5,12,16,0.11450081318616867,0.0007906897808425128,3.702570676803589,0.8041844964027405,0.9984786865471756,0.285049706697464,5.408312892913818
T3,28,6,14,16,0.116214320063591,0.0007844129577279091,4.230672836303711,0.774014413356781,0.9986546112163788,0.23988768458366394,8.555750141143799
R0,28,5,12,16,0.11279121786355972,0.0007351202657446265,3.8369650840759277,0.8038187026977539,0.9982643016902513,0.2811061143875122,5.446704406738281
T3,29,6,14,16,0.11270807683467865,0.0007607170846313238,4.455050945281982,0.7802548408508301,0.9985180707557574,0.23942270874977112,8.376262855529784
